center,left,right,steering,throttle,brake,speed
IMGo/center_2016_12_01_13_30_48_287.jpg, IMGo/left_2016_12_01_13_30_48_287.jpg, IMGo/right_2016_12_01_13_30_48_287.jpg, 0, 0, 0, 22.14829
IMGo/center_2016_12_01_13_30_48_404.jpg, IMGo/left_2016_12_01_13_30_48_404.jpg, IMGo/right_2016_12_01_13_30_48_404.jpg, 0, 0, 0, 21.87963
IMGo/center_2016_12_01_13_31_12_937.jpg, IMGo/left_2016_12_01_13_31_12_937.jpg, IMGo/right_2016_12_01_13_31_12_937.jpg, 0, 0, 0, 1.453011
IMGo/center_2016_12_01_13_31_13_037.jpg, IMGo/left_2016_12_01_13_31_13_037.jpg, IMGo/right_2016_12_01_13_31_13_037.jpg, 0, 0, 0, 1.438419
IMGo/center_2016_12_01_13_31_13_177.jpg, IMGo/left_2016_12_01_13_31_13_177.jpg, IMGo/right_2016_12_01_13_31_13_177.jpg, 0, 0, 0, 1.418236
IMGo/center_2016_12_01_13_31_13_279.jpg, IMGo/left_2016_12_01_13_31_13_279.jpg, IMGo/right_2016_12_01_13_31_13_279.jpg, 0, 0, 0, 1.403993
IMGo/center_2016_12_01_13_31_13_381.jpg, IMGo/left_2016_12_01_13_31_13_381.jpg, IMGo/right_2016_12_01_13_31_13_381.jpg, 0, 0, 0, 1.389892
IMGo/center_2016_12_01_13_31_13_482.jpg, IMGo/left_2016_12_01_13_31_13_482.jpg, IMGo/right_2016_12_01_13_31_13_482.jpg, 0, 0, 0, 1.375934
IMGo/center_2016_12_01_13_31_13_584.jpg, IMGo/left_2016_12_01_13_31_13_584.jpg, IMGo/right_2016_12_01_13_31_13_584.jpg, 0, 0, 0, 1.362115
IMGo/center_2016_12_01_13_31_13_686.jpg, IMGo/left_2016_12_01_13_31_13_686.jpg, IMGo/right_2016_12_01_13_31_13_686.jpg, 0, 0, 0, 1.348435
IMGo/center_2016_12_01_13_31_13_786.jpg, IMGo/left_2016_12_01_13_31_13_786.jpg, IMGo/right_2016_12_01_13_31_13_786.jpg, 0, 0, 0, 1.334892
IMGo/center_2016_12_01_13_31_13_890.jpg, IMGo/left_2016_12_01_13_31_13_890.jpg, IMGo/right_2016_12_01_13_31_13_890.jpg, 0, 0, 0, 1.31882
IMGo/center_2016_12_01_13_31_13_991.jpg, IMGo/left_2016_12_01_13_31_13_991.jpg, IMGo/right_2016_12_01_13_31_13_991.jpg, 0, 0, 0, 1.305575
IMGo/center_2016_12_01_13_31_14_092.jpg, IMGo/left_2016_12_01_13_31_14_092.jpg, IMGo/right_2016_12_01_13_31_14_092.jpg, 0, 0, 0, 1.292579
IMGo/center_2016_12_01_13_31_14_194.jpg, IMGo/left_2016_12_01_13_31_14_194.jpg, IMGo/right_2016_12_01_13_31_14_194.jpg, 0, 0, 0, 1.279884
IMGo/center_2016_12_01_13_31_14_295.jpg, IMGo/left_2016_12_01_13_31_14_295.jpg, IMGo/right_2016_12_01_13_31_14_295.jpg, 0, 0, 0, 1.267316
IMGo/center_2016_12_01_13_31_14_398.jpg, IMGo/left_2016_12_01_13_31_14_398.jpg, IMGo/right_2016_12_01_13_31_14_398.jpg, 0, 0, 0, 1.254873
IMGo/center_2016_12_01_13_31_14_500.jpg, IMGo/left_2016_12_01_13_31_14_500.jpg, IMGo/right_2016_12_01_13_31_14_500.jpg, 0, 0, 0, 1.242555
IMGo/center_2016_12_01_13_31_14_602.jpg, IMGo/left_2016_12_01_13_31_14_602.jpg, IMGo/right_2016_12_01_13_31_14_602.jpg, 0, 0, 0, 1.230361
IMGo/center_2016_12_01_13_31_14_702.jpg, IMGo/left_2016_12_01_13_31_14_702.jpg, IMGo/right_2016_12_01_13_31_14_702.jpg, 0, 0, 0, 1.218291
IMGo/center_2016_12_01_13_31_14_803.jpg, IMGo/left_2016_12_01_13_31_14_803.jpg, IMGo/right_2016_12_01_13_31_14_803.jpg, 0, 0, 0, 1.206346
IMGo/center_2016_12_01_13_31_14_904.jpg, IMGo/left_2016_12_01_13_31_14_904.jpg, IMGo/right_2016_12_01_13_31_14_904.jpg, 0, 0, 0, 1.194345
IMGo/center_2016_12_01_13_31_15_005.jpg, IMGo/left_2016_12_01_13_31_15_005.jpg, IMGo/right_2016_12_01_13_31_15_005.jpg, 0, 0, 0, 1.182352
IMGo/center_2016_12_01_13_31_15_106.jpg, IMGo/left_2016_12_01_13_31_15_106.jpg, IMGo/right_2016_12_01_13_31_15_106.jpg, 0, 0, 0, 1.170474
IMGo/center_2016_12_01_13_31_15_208.jpg, IMGo/left_2016_12_01_13_31_15_208.jpg, IMGo/right_2016_12_01_13_31_15_208.jpg, 0, 0, 0, 1.156378
IMGo/center_2016_12_01_13_31_15_308.jpg, IMGo/left_2016_12_01_13_31_15_308.jpg, IMGo/right_2016_12_01_13_31_15_308.jpg, 0, 0, 0, 1.144761
IMGo/center_2016_12_01_13_31_15_411.jpg, IMGo/left_2016_12_01_13_31_15_411.jpg, IMGo/right_2016_12_01_13_31_15_411.jpg, 0, 0, 0, 1.13326
IMGo/center_2016_12_01_13_31_15_513.jpg, IMGo/left_2016_12_01_13_31_15_513.jpg, IMGo/right_2016_12_01_13_31_15_513.jpg, 0, 0, 0, 1.121875
IMGo/center_2016_12_01_13_32_35_588.jpg, IMGo/left_2016_12_01_13_32_35_588.jpg, IMGo/right_2016_12_01_13_32_35_588.jpg, 0, 0, 0, 1.087376
IMGo/center_2016_12_01_13_32_39_212.jpg, IMGo/left_2016_12_01_13_32_39_212.jpg, IMGo/right_2016_12_01_13_32_39_212.jpg, 0, 0, 0, 0.7550651
IMGo/center_2016_12_01_13_32_40_171.jpg, IMGo/left_2016_12_01_13_32_40_171.jpg, IMGo/right_2016_12_01_13_32_40_171.jpg, 0, 0, 0, 0.685472
IMGo/center_2016_12_01_13_32_41_438.jpg, IMGo/left_2016_12_01_13_32_41_438.jpg, IMGo/right_2016_12_01_13_32_41_438.jpg, 0, 0, 0, 0.6037826
IMGo/center_2016_12_01_13_32_41_538.jpg, IMGo/left_2016_12_01_13_32_41_538.jpg, IMGo/right_2016_12_01_13_32_41_538.jpg, 0, 0, 0, 0.597733
IMGo/center_2016_12_01_13_32_41_640.jpg, IMGo/left_2016_12_01_13_32_41_640.jpg, IMGo/right_2016_12_01_13_32_41_640.jpg, 0, 0, 0, 0.5917443
IMGo/center_2016_12_01_13_32_41_740.jpg, IMGo/left_2016_12_01_13_32_41_740.jpg, IMGo/right_2016_12_01_13_32_41_740.jpg, 0, 0, 0, 0.5858157
