	center	left	right	steering	throttle	brake	speed
2943	IMGo/center_2016_12_01_13_37_36_515.jpg	 IMGo/left_2016_12_01_13_37_36_515.jpg	 IMGo/right_2016_12_01_13_37_36_515.jpg	0.0	0.9855325999999999	0.0	30.186629999999997
9069	IMGn/center_2017_01_28_17_57_21_468.jpg	 IMGn/left_2017_01_28_17_57_21_468.jpg	 IMGn/right_2017_01_28_17_57_21_468.jpg	0.0	1.0	0.0	30.1903
1108	IMGo/center_2016_12_01_13_34_30_539.jpg	 IMGo/left_2016_12_01_13_34_30_539.jpg	 IMGo/right_2016_12_01_13_34_30_539.jpg	0.1765823	0.9855325999999999	0.0	30.186259999999997
9502	IMGn/center_2017_01_28_17_58_09_366.jpg	 IMGn/left_2017_01_28_17_58_09_366.jpg	 IMGn/right_2017_01_28_17_58_09_366.jpg	0.1855531	1.0	0.0	30.187379999999997
4351	IMGo/center_2016_12_01_13_39_59_296.jpg	 IMGo/left_2016_12_01_13_39_59_296.jpg	 IMGo/right_2016_12_01_13_39_59_296.jpg	-0.505992	0.9855325999999999	0.0	30.16047
7242	IMGo/center_2016_12_01_13_45_21_303.jpg	 IMGo/left_2016_12_01_13_45_21_303.jpg	 IMGo/right_2016_12_01_13_45_21_303.jpg	-0.22116129999999998	0.9855325999999999	0.0	30.181729999999998
1573	IMGo/center_2016_12_01_13_35_17_720.jpg	 IMGo/left_2016_12_01_13_35_17_720.jpg	 IMGo/right_2016_12_01_13_35_17_720.jpg	-0.05975719	0.9855325999999999	0.0	30.186629999999997
6309	IMGo/center_2016_12_01_13_43_46_697.jpg	 IMGo/left_2016_12_01_13_43_46_697.jpg	 IMGo/right_2016_12_01_13_43_46_697.jpg	0.0	0.9855325999999999	0.0	30.18668
6096	IMGo/center_2016_12_01_13_43_25_053.jpg	 IMGo/left_2016_12_01_13_43_25_053.jpg	 IMGo/right_2016_12_01_13_43_25_053.jpg	0.0	0.9855325999999999	0.0	30.18635
6424	IMGo/center_2016_12_01_13_43_58_359.jpg	 IMGo/left_2016_12_01_13_43_58_359.jpg	 IMGo/right_2016_12_01_13_43_58_359.jpg	0.0	0.9855325999999999	0.0	30.18665
3880	IMGo/center_2016_12_01_13_39_11_541.jpg	 IMGo/left_2016_12_01_13_39_11_541.jpg	 IMGo/right_2016_12_01_13_39_11_541.jpg	0.0	0.0	0.0	14.792129999999998
3428	IMGo/center_2016_12_01_13_38_25_691.jpg	 IMGo/left_2016_12_01_13_38_25_691.jpg	 IMGo/right_2016_12_01_13_38_25_691.jpg	-0.02177976	0.9855325999999999	0.0	30.18696
