	center	left	right	steering	throttle	brake	speed
3458	IMGo/center_2016_12_01_13_38_28_723.jpg	 IMGo/left_2016_12_01_13_38_28_723.jpg	 IMGo/right_2016_12_01_13_38_28_723.jpg	0.3392473	0.0	0.0	28.74956
416	IMGo/center_2016_12_01_13_33_20_395.jpg	 IMGo/left_2016_12_01_13_33_20_395.jpg	 IMGo/right_2016_12_01_13_33_20_395.jpg	-0.05026283	0.9855325999999999	0.0	30.18589
7346	IMGo/center_2016_12_01_13_45_31_844.jpg	 IMGo/left_2016_12_01_13_45_31_844.jpg	 IMGo/right_2016_12_01_13_45_31_844.jpg	0.0	0.9855325999999999	0.0	30.1867
5361	IMGo/center_2016_12_01_13_42_10_535.jpg	 IMGo/left_2016_12_01_13_42_10_535.jpg	 IMGo/right_2016_12_01_13_42_10_535.jpg	-0.26863309999999996	0.9855325999999999	0.0	30.183940000000003
2760	IMGo/center_2016_12_01_13_37_17_994.jpg	 IMGo/left_2016_12_01_13_37_17_994.jpg	 IMGo/right_2016_12_01_13_37_17_994.jpg	0.1765823	0.9855325999999999	0.0	30.185979999999997
3020	IMGo/center_2016_12_01_13_37_44_295.jpg	 IMGo/left_2016_12_01_13_37_44_295.jpg	 IMGo/right_2016_12_01_13_37_44_295.jpg	0.0	0.9855325999999999	0.0	30.186609999999998
9851	IMGn/center_2017_01_28_17_58_48_624.jpg	 IMGn/left_2017_01_28_17_58_48_624.jpg	 IMGn/right_2017_01_28_17_58_48_624.jpg	0.0	1.0	0.0	30.18845
7847	IMGo/center_2016_12_01_13_46_22_681.jpg	 IMGo/left_2016_12_01_13_46_22_681.jpg	 IMGo/right_2016_12_01_13_46_22_681.jpg	-0.26863309999999996	0.2746235	0.0	20.276120000000002
9494	IMGn/center_2017_01_28_17_58_08_513.jpg	 IMGn/left_2017_01_28_17_58_08_513.jpg	 IMGn/right_2017_01_28_17_58_08_513.jpg	0.0	1.0	0.0	30.190509999999996
1877	IMGo/center_2016_12_01_13_35_48_520.jpg	 IMGo/left_2016_12_01_13_35_48_520.jpg	 IMGo/right_2016_12_01_13_35_48_520.jpg	0.0	0.9855325999999999	0.0	30.18662
3989	IMGo/center_2016_12_01_13_39_22_567.jpg	 IMGo/left_2016_12_01_13_39_22_567.jpg	 IMGo/right_2016_12_01_13_39_22_567.jpg	0.07132844	0.8991036	0.0	20.31544
5527	IMGo/center_2016_12_01_13_42_27_389.jpg	 IMGo/left_2016_12_01_13_42_27_389.jpg	 IMGo/right_2016_12_01_13_42_27_389.jpg	-0.1736895	0.9855325999999999	0.0	30.18703
3368	IMGo/center_2016_12_01_13_38_19_624.jpg	 IMGo/left_2016_12_01_13_38_19_624.jpg	 IMGo/right_2016_12_01_13_38_19_624.jpg	0.0	0.9855325999999999	0.0	30.18654
3833	IMGo/center_2016_12_01_13_39_06_777.jpg	 IMGo/left_2016_12_01_13_39_06_777.jpg	 IMGo/right_2016_12_01_13_39_06_777.jpg	0.0	0.5244156	0.0	17.07687
6459	IMGo/center_2016_12_01_13_44_01_925.jpg	 IMGo/left_2016_12_01_13_44_01_925.jpg	 IMGo/right_2016_12_01_13_44_01_925.jpg	-0.06925154	0.9855325999999999	0.0	30.18618
8585	IMGn/center_2017_01_28_17_56_28_068.jpg	 IMGn/left_2017_01_28_17_56_28_068.jpg	 IMGn/right_2017_01_28_17_56_28_068.jpg	0.0	1.0	0.0	30.18995
3292	IMGo/center_2016_12_01_13_38_11_919.jpg	 IMGo/left_2016_12_01_13_38_11_919.jpg	 IMGo/right_2016_12_01_13_38_11_919.jpg	0.0	0.9855325999999999	0.0	30.186629999999997
980	IMGo/center_2016_12_01_13_34_17_574.jpg	 IMGo/left_2016_12_01_13_34_17_574.jpg	 IMGo/right_2016_12_01_13_34_17_574.jpg	0.0	0.9855325999999999	0.0	30.187009999999997
7376	IMGo/center_2016_12_01_13_45_34_876.jpg	 IMGo/left_2016_12_01_13_45_34_876.jpg	 IMGo/right_2016_12_01_13_45_34_876.jpg	0.0	0.9855325999999999	0.0	30.185109999999998
2810	IMGo/center_2016_12_01_13_37_23_068.jpg	 IMGo/left_2016_12_01_13_37_23_068.jpg	 IMGo/right_2016_12_01_13_37_23_068.jpg	0.0	0.9855325999999999	0.0	30.18662
3437	IMGo/center_2016_12_01_13_38_26_602.jpg	 IMGo/left_2016_12_01_13_38_26_602.jpg	 IMGo/right_2016_12_01_13_38_26_602.jpg	-0.08824026	0.6877411	0.0	30.13587
1117	IMGo/center_2016_12_01_13_34_31_455.jpg	 IMGo/left_2016_12_01_13_34_31_455.jpg	 IMGo/right_2016_12_01_13_34_31_455.jpg	0.1670138	0.9855325999999999	0.0	30.183059999999998
3922	IMGo/center_2016_12_01_13_39_15_788.jpg	 IMGo/left_2016_12_01_13_39_15_788.jpg	 IMGo/right_2016_12_01_13_39_15_788.jpg	0.2722676	0.36109	0.0	17.1174
7874	IMGo/center_2016_12_01_13_46_25_430.jpg	 IMGo/left_2016_12_01_13_46_25_430.jpg	 IMGo/right_2016_12_01_13_46_25_430.jpg	0.0	0.6300968000000001	0.0	28.694340000000004
866	IMGo/center_2016_12_01_13_34_06_043.jpg	 IMGo/left_2016_12_01_13_34_06_043.jpg	 IMGo/right_2016_12_01_13_34_06_043.jpg	0.3583844	0.9855325999999999	0.0	30.182609999999997
1850	IMGo/center_2016_12_01_13_35_45_779.jpg	 IMGo/left_2016_12_01_13_35_45_779.jpg	 IMGo/right_2016_12_01_13_35_45_779.jpg	0.0	0.9855325999999999	0.0	30.186609999999998
5964	IMGo/center_2016_12_01_13_43_11_672.jpg	 IMGo/left_2016_12_01_13_43_11_672.jpg	 IMGo/right_2016_12_01_13_43_11_672.jpg	-0.14520639999999999	0.9855325999999999	0.0	30.18505
2756	IMGo/center_2016_12_01_13_37_17_579.jpg	 IMGo/left_2016_12_01_13_37_17_579.jpg	 IMGo/right_2016_12_01_13_37_17_579.jpg	0.1765823	0.9855325999999999	0.0	30.18577
907	IMGo/center_2016_12_01_13_34_10_195.jpg	 IMGo/left_2016_12_01_13_34_10_195.jpg	 IMGo/right_2016_12_01_13_34_10_195.jpg	0.0	0.9855325999999999	0.0	30.186429999999998
4806	IMGo/center_2016_12_01_13_41_14_270.jpg	 IMGo/left_2016_12_01_13_41_14_270.jpg	 IMGo/right_2016_12_01_13_41_14_270.jpg	-0.03127411	0.9855325999999999	0.0	30.18664
4333	IMGo/center_2016_12_01_13_39_57_475.jpg	 IMGo/left_2016_12_01_13_39_57_475.jpg	 IMGo/right_2016_12_01_13_39_57_475.jpg	-0.4490258	0.8894962	0.0	30.146440000000002
8599	IMGn/center_2017_01_28_17_56_29_643.jpg	 IMGn/left_2017_01_28_17_56_29_643.jpg	 IMGn/right_2017_01_28_17_56_29_643.jpg	0.0	1.0	0.0	30.18999
1653	IMGo/center_2016_12_01_13_35_25_858.jpg	 IMGo/left_2016_12_01_13_35_25_858.jpg	 IMGo/right_2016_12_01_13_35_25_858.jpg	0.0	0.9855325999999999	0.0	30.18536
3675	IMGo/center_2016_12_01_13_38_50_716.jpg	 IMGo/left_2016_12_01_13_38_50_716.jpg	 IMGo/right_2016_12_01_13_38_50_716.jpg	0.15744520000000004	0.0	0.0	8.495357
5234	IMGo/center_2016_12_01_13_41_57_616.jpg	 IMGo/left_2016_12_01_13_41_57_616.jpg	 IMGo/right_2016_12_01_13_41_57_616.jpg	0.0	0.9855325999999999	0.0	30.186220000000002
2256	IMGo/center_2016_12_01_13_36_26_906.jpg	 IMGo/left_2016_12_01_13_36_26_906.jpg	 IMGo/right_2016_12_01_13_36_26_906.jpg	0.100034	0.9855325999999999	0.0	30.1841
6756	IMGo/center_2016_12_01_13_44_32_011.jpg	 IMGo/left_2016_12_01_13_44_32_011.jpg	 IMGo/right_2016_12_01_13_44_32_011.jpg	-0.11672329999999999	0.9855325999999999	0.0	30.18634
2631	IMGo/center_2016_12_01_13_37_04_945.jpg	 IMGo/left_2016_12_01_13_37_04_945.jpg	 IMGo/right_2016_12_01_13_37_04_945.jpg	0.0	0.9855325999999999	0.0	30.18703
9893	IMGn/center_2017_01_28_17_58_53_227.jpg	 IMGn/left_2017_01_28_17_58_53_227.jpg	 IMGn/right_2017_01_28_17_58_53_227.jpg	-0.16189460000000003	1.0	0.0	30.18323
8470	IMGn/center_2017_01_28_17_56_15_788.jpg	 IMGn/left_2017_01_28_17_56_15_788.jpg	 IMGn/right_2017_01_28_17_56_15_788.jpg	0.0	0.8104536999999999	0.0	28.678620000000002
4396	IMGo/center_2016_12_01_13_40_03_871.jpg	 IMGo/left_2016_12_01_13_40_03_871.jpg	 IMGo/right_2016_12_01_13_40_03_871.jpg	0.0	0.0	0.0	27.4346
6045	IMGo/center_2016_12_01_13_43_19_870.jpg	 IMGo/left_2016_12_01_13_43_19_870.jpg	 IMGo/right_2016_12_01_13_43_19_870.jpg	0.0	0.9855325999999999	0.0	29.98508
3268	IMGo/center_2016_12_01_13_38_09_480.jpg	 IMGo/left_2016_12_01_13_38_09_480.jpg	 IMGo/right_2016_12_01_13_38_09_480.jpg	-0.6009356	0.9855325999999999	0.0	30.17192
2639	IMGo/center_2016_12_01_13_37_05_754.jpg	 IMGo/left_2016_12_01_13_37_05_754.jpg	 IMGo/right_2016_12_01_13_37_05_754.jpg	0.0	0.9855325999999999	0.0	30.187009999999997
2253	IMGo/center_2016_12_01_13_36_26_604.jpg	 IMGo/left_2016_12_01_13_36_26_604.jpg	 IMGo/right_2016_12_01_13_36_26_604.jpg	0.0	0.9855325999999999	0.0	30.186629999999997
5173	IMGo/center_2016_12_01_13_41_51_444.jpg	 IMGo/left_2016_12_01_13_41_51_444.jpg	 IMGo/right_2016_12_01_13_41_51_444.jpg	0.03305431	0.9855325999999999	0.0	30.186529999999998
238	IMGo/center_2016_12_01_13_33_02_357.jpg	 IMGo/left_2016_12_01_13_33_02_357.jpg	 IMGo/right_2016_12_01_13_33_02_357.jpg	0.15744520000000004	0.9855325999999999	0.0	30.18637
6742	IMGo/center_2016_12_01_13_44_30_595.jpg	 IMGo/left_2016_12_01_13_44_30_595.jpg	 IMGo/right_2016_12_01_13_44_30_595.jpg	-0.04076847	0.9855325999999999	0.0	30.18621
9474	IMGn/center_2017_01_28_17_58_06_306.jpg	 IMGn/left_2017_01_28_17_58_06_306.jpg	 IMGn/right_2017_01_28_17_58_06_306.jpg	0.0	1.0	0.0	30.19027
9894	IMGn/center_2017_01_28_17_58_53_332.jpg	 IMGn/left_2017_01_28_17_58_53_332.jpg	 IMGn/right_2017_01_28_17_58_53_332.jpg	0.0	1.0	0.0	30.190070000000002
8188	IMGn/center_2017_01_28_17_55_45_043.jpg	 IMGn/left_2017_01_28_17_55_45_043.jpg	 IMGn/right_2017_01_28_17_55_45_043.jpg	0.0	1.0	0.0	30.1903
9462	IMGn/center_2017_01_28_17_58_05_012.jpg	 IMGn/left_2017_01_28_17_58_05_012.jpg	 IMGn/right_2017_01_28_17_58_05_012.jpg	0.0	1.0	0.0	30.19009
2473	IMGo/center_2016_12_01_13_36_48_941.jpg	 IMGo/left_2016_12_01_13_36_48_941.jpg	 IMGo/right_2016_12_01_13_36_48_941.jpg	0.0	0.9855325999999999	0.0	30.18662
1325	IMGo/center_2016_12_01_13_34_52_529.jpg	 IMGo/left_2016_12_01_13_34_52_529.jpg	 IMGo/right_2016_12_01_13_34_52_529.jpg	0.0	0.9855325999999999	0.0	30.18664
4173	IMGo/center_2016_12_01_13_39_41_204.jpg	 IMGo/left_2016_12_01_13_39_41_204.jpg	 IMGo/right_2016_12_01_13_39_41_204.jpg	0.1765823	0.6877411	0.0	30.10943
3059	IMGo/center_2016_12_01_13_37_48_251.jpg	 IMGo/left_2016_12_01_13_37_48_251.jpg	 IMGo/right_2016_12_01_13_37_48_251.jpg	0.0	0.9855325999999999	0.0	30.186629999999997
6763	IMGo/center_2016_12_01_13_44_32_724.jpg	 IMGo/left_2016_12_01_13_44_32_724.jpg	 IMGo/right_2016_12_01_13_44_32_724.jpg	0.0	0.9855325999999999	0.0	30.186740000000004
252	IMGo/center_2016_12_01_13_33_03_776.jpg	 IMGo/left_2016_12_01_13_33_03_776.jpg	 IMGo/right_2016_12_01_13_33_03_776.jpg	0.0	0.9855325999999999	0.0	30.18662
4052	IMGo/center_2016_12_01_13_39_28_935.jpg	 IMGo/left_2016_12_01_13_39_28_935.jpg	 IMGo/right_2016_12_01_13_39_28_935.jpg	0.004348711	0.0	0.0	24.78838
6716	IMGo/center_2016_12_01_13_44_27_964.jpg	 IMGo/left_2016_12_01_13_44_27_964.jpg	 IMGo/right_2016_12_01_13_44_27_964.jpg	-0.04076847	0.9855325999999999	0.0	30.18627
3499	IMGo/center_2016_12_01_13_38_32_870.jpg	 IMGo/left_2016_12_01_13_38_32_870.jpg	 IMGo/right_2016_12_01_13_38_32_870.jpg	0.0	0.0	0.0	10.02057
8652	IMGn/center_2017_01_28_17_56_35_718.jpg	 IMGn/left_2017_01_28_17_56_35_718.jpg	 IMGn/right_2017_01_28_17_56_35_718.jpg	0.0	1.0	0.0	30.190179999999998
9182	IMGn/center_2017_01_28_17_57_34_130.jpg	 IMGn/left_2017_01_28_17_57_34_130.jpg	 IMGn/right_2017_01_28_17_57_34_130.jpg	-0.05330372	1.0	0.0	30.18968
1907	IMGo/center_2016_12_01_13_35_51_552.jpg	 IMGo/left_2016_12_01_13_35_51_552.jpg	 IMGo/right_2016_12_01_13_35_51_552.jpg	0.3009732	0.9855325999999999	0.0	30.18307
4866	IMGo/center_2016_12_01_13_41_20_352.jpg	 IMGo/left_2016_12_01_13_41_20_352.jpg	 IMGo/right_2016_12_01_13_41_20_352.jpg	0.0	0.9855325999999999	0.0	30.18665
7548	IMGo/center_2016_12_01_13_45_52_331.jpg	 IMGo/left_2016_12_01_13_45_52_331.jpg	 IMGo/right_2016_12_01_13_45_52_331.jpg	0.0	0.9855325999999999	0.0	30.18667
2648	IMGo/center_2016_12_01_13_37_06_663.jpg	 IMGo/left_2016_12_01_13_37_06_663.jpg	 IMGo/right_2016_12_01_13_37_06_663.jpg	0.0	0.9855325999999999	0.0	30.18703
8689	IMGn/center_2017_01_28_17_56_39_718.jpg	 IMGn/left_2017_01_28_17_56_39_718.jpg	 IMGn/right_2017_01_28_17_56_39_718.jpg	-0.4796791	1.0	0.0	30.1426
966	IMGo/center_2016_12_01_13_34_16_158.jpg	 IMGo/left_2016_12_01_13_34_16_158.jpg	 IMGo/right_2016_12_01_13_34_16_158.jpg	0.0	0.9855325999999999	0.0	30.186999999999998
